AIZTLQM7HHQN6:3OCHAWUVGPFG5ILGIYIO1PZXVF5KXA,practice_grid_0,"[[0, 0, 0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, -1, -1, 0], [0, 0, 0, 0, 0, 0, 0, -1, -1, 0], [0, 0, 0, 0, 0, 0, 0, -1, -1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
AIZTLQM7HHQN6:3OCHAWUVGPFG5ILGIYIO1PZXVF5KXA,practice_path_0,"[50, 51, 52, 53, 54, 55, 56, 46, 36, 26, 16, 17, 18, 19, 29, 39, 49, 59]"
AIZTLQM7HHQN6:3OCHAWUVGPFG5ILGIYIO1PZXVF5KXA,practice_reward_0,1
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_0,-3
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_1,6
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_2,6
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_3,0
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_0,
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_1,avoiding the black going straight to white
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_2,going straight to white for points
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_3,
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_8,0
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_8,ignored black and dark gray since they are bad
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_6,going to white for points
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_7,"taking straightest, shortest track"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,comments,none
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_4,6
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_5,6
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_6,6
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_8,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_6,"[50, 51, 61, 71, 72, 73, 74, 75, 76, 66, 56, 46, 47, 57, 67, 68, 69, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_7,"[50, 51, 41, 42, 43, 44, 45, 46, 47, 48, 49, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_4,avoiding the black and going through white
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_5,"[50, 51, 52, 53, 54, 55, 56, 46, 36, 37, 47, 48, 38, 39, 49, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_2,"[50, 51, 52, 53, 63, 73, 74, 64, 65, 75, 76, 77, 78, 79, 69, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_3,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_0,"[50, 60, 70, 71, 72, 73, 74, 75, 76, 66, 56, 46, 47, 57, 67, 68, 58, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,path_1,"[50, 51, 41, 31, 21, 11, 12, 13, 14, 15, 25, 35, 36, 26, 27, 37, 38, 39, 49, 59]"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,reward_7,0
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,strategy_5,"staying away from black and light gray, just going through white for points"
AVI7K876BV3QL:3EG49X351V79630RGUONR6UFUKLX6I,practice_path_1,"[50, 40, 30, 20, 10, 11, 12, 13, 14, 4, 5, 15, 16, 6, 7, 8, 9, 19, 29, 39, 49, 59]"
